trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,timepoint
85458,0:25:00,0:25:00,CHI,1,0,0,1
85458,0:46:00,0:47:00,GLN,2,0,0,1
85458,1:24:00,1:25:00,SVT,3,0,0,1
85458,1:38:00,1:39:00,MKA,4,0,0,1
85458,1:54:00,1:54:00,MKE,5,0,0,1
85513,17:00:00,17:00:00,CHI,1,0,0,1
85513,18:08:00,18:10:00,NBU,2,0,0,1
85513,18:29:00,18:32:00,NLS,3,0,0,1
85513,18:42:00,18:43:00,DOA,4,0,0,1
85513,19:08:00,19:11:00,KAL,5,0,0,1
85513,19:33:00,19:38:00,BTL,6,0,0,1
85513,20:55:00,21:00:00,LNS,7,0,0,1
85513,21:35:00,21:37:00,DRD,8,0,0,1
85513,22:03:00,22:08:00,FLN,9,0,0,1
85513,22:32:00,22:34:00,LPE,10,0,0,1
85513,23:31:00,23:31:00,PTH,11,0,0,1
85514,17:00:00,17:00:00,CHI,1,0,0,1
85514,18:08:00,18:10:00,NBU,2,0,0,1
85514,18:29:00,18:32:00,NLS,3,0,0,1
85514,18:42:00,18:43:00,DOA,4,0,0,1
85514,19:08:00,19:11:00,KAL,5,0,0,1
85514,19:33:00,19:38:00,BTL,6,0,0,1
85514,20:55:00,21:00:00,LNS,7,0,0,1
85514,21:35:00,21:37:00,DRD,8,0,0,1
85514,22:03:00,22:08:00,FLN,9,0,0,1
85514,22:32:00,22:34:00,LPE,10,0,0,1
85514,23:31:00,23:31:00,PTH,11,0,0,1
85517,19:30:00,19:30:00,CHI,1,0,0,1
85517,21:13:00,21:14:00,SJM,2,0,0,1
85517,21:49:00,21:50:00,BAM,3,0,0,1
85517,22:31:00,22:33:00,HOM,4,0,0,1
85517,23:34:00,23:34:00,GRR,5,0,0,1
85663,11:30:00,11:30:00,SEA,1,0,0,1
85663,11:54:00,11:56:00,EDM,2,0,0,1
85663,12:18:00,12:21:00,EVR,3,0,0,1
85663,12:49:00,12:51:00,STW,4,0,0,1
85663,13:02:00,13:04:00,MVW,5,0,0,1
85663,13:34:00,13:37:00,BEL,6,0,0,1
85663,15:30:00,15:30:00,VAC,7,0,0,1
86550,8:15:00,8:15:00,RSV,1,0,1,1
86550,8:55:00,8:55:00,SAC,2,1,0,1
86594,10:15:00,10:15:00,SAC,1,0,1,1
86594,10:30:00,10:30:00,EKG,2,0,1,1
86594,11:15:00,11:15:00,SKN,3,1,0,1
86601,8:30:00,8:30:00,DAV,1,0,0,1
86601,9:15:00,9:15:00,SAC,2,0,0,1
86602,9:40:00,9:40:00,DAV,1,0,0,1
86602,10:05:00,10:15:00,SAC,2,0,0,1
86602,11:05:00,11:05:00,SKT,3,0,0,1
86602,11:15:00,11:15:00,SKN,4,1,0,1
86603,11:45:00,11:45:00,SKN,1,0,0,1
86603,12:10:00,12:10:00,LOD,2,0,0,1
86603,12:50:00,13:00:00,SAC,3,0,0,1
86603,13:20:00,13:20:00,DAV,4,1,0,1
86604,12:05:00,12:05:00,DAV,1,0,0,1
86604,12:40:00,12:50:00,SAC,2,0,0,1
86604,13:30:00,13:30:00,LOD,3,0,0,1
86604,13:55:00,13:55:00,SKT,4,0,0,1
86604,14:05:00,14:05:00,SKN,5,0,0,1
86605,15:45:00,15:45:00,SKN,1,0,1,1
86605,15:55:00,15:55:00,SKT,2,1,0,1
86605,16:20:00,16:20:00,LOD,3,1,0,1
86605,17:05:00,17:15:00,SAC,4,0,0,1
86605,17:35:00,17:35:00,DAV,5,0,0,1
86606,14:20:00,14:20:00,DAV,1,0,1,1
86606,14:55:00,15:05:00,SAC,2,0,0,1
86606,15:20:00,15:20:00,EKG,3,0,1,1
86606,16:00:00,16:00:00,SKT,4,0,0,1
86606,16:10:00,16:10:00,SKN,5,1,0,1
86608,16:05:00,16:05:00,DAV,1,0,0,1
86608,16:40:00,16:50:00,SAC,2,0,0,1
86608,17:30:00,17:30:00,LOD,3,0,0,1
86608,17:55:00,17:55:00,SKT,4,0,0,1
86608,18:10:00,18:10:00,SKN,5,0,0,1
86609,21:45:00,21:45:00,SKN,1,0,1,1
86609,21:55:00,21:55:00,SKT,2,0,0,1
86609,22:20:00,22:20:00,LOD,3,1,0,1
86609,23:05:00,23:15:00,SAC,4,0,0,1
86609,23:35:00,23:35:00,DAV,5,0,0,1
86611,19:15:00,19:15:00,SKT,1,0,0,1
86611,19:25:00,19:25:00,SKN,2,0,0,1
86613,11:45:00,11:45:00,SKN,1,0,0,1
86613,11:55:00,11:55:00,SKT,2,0,0,1
86613,12:20:00,12:20:00,TRA,3,1,0,1
86613,12:50:00,12:50:00,LIV,4,1,0,1
86613,13:00:00,13:00:00,DBP,5,1,0,1
86613,13:15:00,13:15:00,FRT,6,1,0,1
86613,13:50:00,13:50:00,SJC,7,0,0,1
86614,11:45:00,11:45:00,SKN,1,0,0,1
86614,11:55:00,11:55:00,SKT,2,1,0,1
86614,12:20:00,12:20:00,TRA,3,1,0,1
86614,12:50:00,12:50:00,LIV,4,1,0,1
86614,13:00:00,13:00:00,DBP,5,1,0,1
86614,13:15:00,13:15:00,FRT,6,1,0,1
86614,13:50:00,13:50:00,SJC,7,0,0,1
86615,19:45:00,19:45:00,SKN,1,0,0,1
86615,20:10:00,20:10:00,TRA,2,1,0,1
86615,20:40:00,20:40:00,LIV,3,1,0,1
86615,20:50:00,20:50:00,DBP,4,1,0,1
86615,21:05:00,21:05:00,FRT,5,1,0,1
86615,21:35:00,21:35:00,SJC,6,0,0,1
86616,15:25:00,15:25:00,SJC,1,0,0,1
86616,15:50:00,15:50:00,FRT,2,0,1,1
86616,16:10:00,16:10:00,DBP,3,0,1,1
86616,16:25:00,16:25:00,LIV,4,0,1,1
86616,16:50:00,16:50:00,TRA,5,0,1,1
86616,18:05:00,18:05:00,SKN,6,1,0,1
86620,11:30:00,11:30:00,RVM,1,0,0,1
86620,11:50:00,12:00:00,RVR,2,0,0,1
